----------------------------------------------------------------------------------------------------
Execution: 0
Generation 1 | Average Generation Fitness: 0.004497456413147669 | Best Fitness: 0.009716141141372838 | Population Length: 200| Best DNA: 'αντιλοχος αλεξανδρος ουδις αντιλοχος'
Generation 2 | Average Generation Fitness: 0.0037136227662898343 | Best Fitness: 0.0075855422899641055 | Population Length: 200| Best DNA: 'σεβαστων αλεξανδρος ουδις σεβαστων'
Generation 3 | Average Generation Fitness: 0.0034144414474473884 | Best Fitness: 0.006104920568983688 | Population Length: 200| Best DNA: 'ελεης αλεξανδρος ουδις ελεης'
Generation 4 | Average Generation Fitness: 0.003295538459317295 | Best Fitness: 0.005764026683745171 | Population Length: 200| Best DNA: 'προτερον αλεξανδρος ουδις προτερον'
Generation 5 | Average Generation Fitness: 0.0032425816794352763 | Best Fitness: 0.003927021506195175 | Population Length: 200| Best DNA: 'προσοδους αλεξανδρος ουδις προσοδους'
Generation 6 | Average Generation Fitness: 0.0033066195324455085 | Best Fitness: 0.008391881374984459 | Population Length: 200| Best DNA: 'εποιησατο αλεξανδρος ουδις εποιησατο'
Generation 7 | Average Generation Fitness: 0.0032352836274792606 | Best Fitness: 0.005287953134211832 | Population Length: 200| Best DNA: 'καταπλεοντας αλεξανδρος ουδις καταπλεοντας'
Generation 8 | Average Generation Fitness: 0.003221477207280327 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'πατρος αλεξανδρος ουδις πατρος'
Generation 9 | Average Generation Fitness: 0.0032307500556064844 | Best Fitness: 0.004381238759656494 | Population Length: 200| Best DNA: 'χρηματα αλεξανδρος ουδις χρηματα'
Generation 10 | Average Generation Fitness: 0.003237045012958574 | Best Fitness: 0.00762631822189115 | Population Length: 200| Best DNA: 'χοφαρνου αλεξανδρος ουδις χοφαρνου'
Generation 11 | Average Generation Fitness: 0.003249806933082006 | Best Fitness: 0.006776091682815789 | Population Length: 200| Best DNA: 'δαφνη αλεξανδρος ουδις δαφνη'
Generation 12 | Average Generation Fitness: 0.003268764676499568 | Best Fitness: 0.008137440355887727 | Population Length: 200| Best DNA: 'αγοσ αλεξανδρος ουδις αγοσ'
Generation 13 | Average Generation Fitness: 0.003198314717568354 | Best Fitness: 0.005366446470505934 | Population Length: 200| Best DNA: 'τηγ αλεξανδρος ουδις τηγ'
Generation 14 | Average Generation Fitness: 0.003242201665464825 | Best Fitness: 0.006769542658116471 | Population Length: 200| Best DNA: 'σαδαλου αλεξανδρος ουδις σαδαλου'
Generation 15 | Average Generation Fitness: 0.003190752941629273 | Best Fitness: 0.005204776127454887 | Population Length: 200| Best DNA: 'υψιστω αλεξανδρος ουδις υψιστω'
Generation 16 | Average Generation Fitness: 0.0032202829498157396 | Best Fitness: 0.008905037723937897 | Population Length: 200| Best DNA: 'ευανδριδας αλεξανδρος ουδις ευανδριδας'
Generation 17 | Average Generation Fitness: 0.0032042644327111274 | Best Fitness: 0.007098610313891209 | Population Length: 200| Best DNA: 'εδοξε αλεξανδρος ουδις εδοξε'
Generation 18 | Average Generation Fitness: 0.0031695417757083 | Best Fitness: 0.0053740230248805225 | Population Length: 200| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 19 | Average Generation Fitness: 0.003175592911299043 | Best Fitness: 0.008348009852104389 | Population Length: 200| Best DNA: 'μηνος αλεξανδρος ουδις μηνος'
Generation 20 | Average Generation Fitness: 0.003137766715360707 | Best Fitness: 0.007939953045394422 | Population Length: 200| Best DNA: 'ατωτεω αλεξανδρος ουδις ατωτεω'
Generation 21 | Average Generation Fitness: 0.003078104104627668 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'δικαιως αλεξανδρος ουδις δικαιως'
Generation 22 | Average Generation Fitness: 0.003032698761338828 | Best Fitness: 0.005209547320977674 | Population Length: 200| Best DNA: 'δισχιλιους αλεξανδρος ουδις δισχιλιους'
Generation 23 | Average Generation Fitness: 0.003029683428005781 | Best Fitness: 0.007230760706851137 | Population Length: 200| Best DNA: 'κυλιξ αλεξανδρος ουδις κυλιξ'
Generation 24 | Average Generation Fitness: 0.0029664179202516373 | Best Fitness: 0.007904490763523654 | Population Length: 200| Best DNA: 'δημητριου αλεξανδρος ουδις δημητριου'
Generation 25 | Average Generation Fitness: 0.0029126736015669067 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'πατρος αλεξανδρος ουδις πατρος'
Generation 26 | Average Generation Fitness: 0.002765624265512896 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'πυρων αλεξανδρος ουδις πυρων'
Generation 27 | Average Generation Fitness: 0.0026851307435739906 | Best Fitness: 0.007080652265407341 | Population Length: 200| Best DNA: 'ανεθηκεν αλεξανδρος ουδις ανεθηκεν'
Generation 28 | Average Generation Fitness: 0.002632269631901308 | Best Fitness: 0.007084258794437864 | Population Length: 200| Best DNA: 'ιν αλεξανδρος ουδις ιν'
Generation 29 | Average Generation Fitness: 0.0025699994235926227 | Best Fitness: 0.0073855157922749675 | Population Length: 200| Best DNA: 'υολι αλεξανδρος ουδις υολι'
Generation 30 | Average Generation Fitness: 0.002560911274957816 | Best Fitness: 0.006880744941136587 | Population Length: 200| Best DNA: 'ανατεθηναι αλεξανδρος ουδις ανατεθηναι'
Generation 31 | Average Generation Fitness: 0.0025935601164716326 | Best Fitness: 0.006983826441562711 | Population Length: 200| Best DNA: 'οσον αλεξανδρος ουδις οσον'
Generation 32 | Average Generation Fitness: 0.002535500170860595 | Best Fitness: 0.0042928843815182695 | Population Length: 200| Best DNA: 'ματασυ αλεξανδρος ουδις ματασυ'
Generation 33 | Average Generation Fitness: 0.002538448315529677 | Best Fitness: 0.004074049285400165 | Population Length: 200| Best DNA: 'ελυσατο αλεξανδρος ουδις ελυσατο'
Generation 34 | Average Generation Fitness: 0.0025529940527506552 | Best Fitness: 0.005268611823871621 | Population Length: 200| Best DNA: 'στιχω αλεξανδρος ουδις στιχω'
Generation 35 | Average Generation Fitness: 0.0026086467695630063 | Best Fitness: 0.013367085040002188 | Population Length: 200| Best DNA: 'ευεργετης αλεξανδρος ουδις ευεργετης'
Generation 36 | Average Generation Fitness: 0.0025574262296184603 | Best Fitness: 0.005997143901084403 | Population Length: 200| Best DNA: 'ασιν αλεξανδρος ουδις ασιν'
Generation 37 | Average Generation Fitness: 0.002544839543735334 | Best Fitness: 0.00527907757686702 | Population Length: 200| Best DNA: 'ποιησας αλεξανδρος ουδις ποιησας'
Generation 38 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'πατρος αλεξανδρος ουδις πατρος'
Generation 39 | Average Generation Fitness: 0.002557358853886516 | Best Fitness: 0.008664620986702532 | Population Length: 200| Best DNA: 'ευφροσυνος αλεξανδρος ουδις ευφροσυνος'
Generation 40 | Average Generation Fitness: 0.002629277741037475 | Best Fitness: 0.010244905872343951 | Population Length: 200| Best DNA: 'ιου αλεξανδρος ουδις ιου'
Generation 41 | Average Generation Fitness: 0.0025747566372848352 | Best Fitness: 0.007917588729609218 | Population Length: 200| Best DNA: 'ων αλεξανδρος ουδις ων'
Generation 42 | Average Generation Fitness: 0.0026300574091517826 | Best Fitness: 0.00759216501703316 | Population Length: 200| Best DNA: 'βοσπορου αλεξανδρος ουδις βοσπορου'
Generation 43 | Average Generation Fitness: 0.002548480620816474 | Best Fitness: 0.004439142786699832 | Population Length: 200| Best DNA: 'ξενων αλεξανδρος ουδις ξενων'
Generation 44 | Average Generation Fitness: 0.0026082739740661905 | Best Fitness: 0.009125430204326846 | Population Length: 200| Best DNA: 'πουρθαιου αλεξανδρος ουδις πουρθαιου'
Generation 45 | Average Generation Fitness: 0.0025606077033478968 | Best Fitness: 0.007914038467208617 | Population Length: 200| Best DNA: 'φοιβος αλεξανδρος ουδις φοιβος'
Generation 46 | Average Generation Fitness: 0.0025323210774735607 | Best Fitness: 0.003657065704111383 | Population Length: 200| Best DNA: 'πυθοδοτος αλεξανδρος ουδις πυθοδοτος'
Generation 47 | Average Generation Fitness: 0.0025490400566691466 | Best Fitness: 0.006265614862958555 | Population Length: 200| Best DNA: 'φιλοκαισαρ αλεξανδρος ουδις φιλοκαισαρ'
Generation 48 | Average Generation Fitness: 0.00253784620222382 | Best Fitness: 0.004762090654163286 | Population Length: 200| Best DNA: 'πεντακοσιων αλεξανδρος ουδις πεντακοσιων'
Generation 49 | Average Generation Fitness: 0.002534769116728947 | Best Fitness: 0.004146673555188596 | Population Length: 200| Best DNA: 'φαρνοξαρθος αλεξανδρος ουδις φαρνοξαρθος'
Generation 50 | Average Generation Fitness: 0.0025315889039769163 | Best Fitness: 0.003510631004782436 | Population Length: 200| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
------------------------------------------------
Total Generations: 50
Total Population: 200   ---   Mutation Rate: 0.01  ---  Crossover Probability: 0.1
Average Fitness: 0.0025315889039769163  ---  Best Overall Fitness: 0.013367085040002188
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 1
Generation 1 | Average Generation Fitness: 0.004679469338028318 | Best Fitness: 0.011623265088490787 | Population Length: 200| Best DNA: 'δεινα αλεξανδρος ουδις δεινα'
Generation 2 | Average Generation Fitness: 0.0038680611356605695 | Best Fitness: 0.0071027537493812765 | Population Length: 200| Best DNA: 'ζαλσιν αλεξανδρος ουδις ζαλσιν'
Generation 3 | Average Generation Fitness: 0.0034373276809157804 | Best Fitness: 0.006283965603130483 | Population Length: 200| Best DNA: 'τι αλεξανδρος ουδις τι'
Generation 4 | Average Generation Fitness: 0.0032840080368016188 | Best Fitness: 0.004191439302281738 | Population Length: 200| Best DNA: 'καταπλεοντας αλεξανδρος ουδις καταπλεοντας'
Generation 5 | Average Generation Fitness: 0.0032482167247257676 | Best Fitness: 0.005745123075992702 | Population Length: 200| Best DNA: 'ικανον αλεξανδρος ουδις ικανον'
Generation 6 | Average Generation Fitness: 0.0032846231121332332 | Best Fitness: 0.012730457975202657 | Population Length: 200| Best DNA: 'του αλεξανδρος ουδις του'
Generation 7 | Average Generation Fitness: 0.003322135083178988 | Best Fitness: 0.014162058435009596 | Population Length: 200| Best DNA: 'την αλεξανδρος ουδις την'
