----------------------------------------------------------------------------------------------------
Execution: 0
Generation 1 | Average Generation Fitness: 0.004354137019042338 | Best Fitness: 0.009747565958707438 | Population Length: 200| Best DNA: 'πινυτος αλεξανδρος ουδις πινυτος'
Generation 2 | Average Generation Fitness: 0.0036849318582667413 | Best Fitness: 0.0071532763945061865 | Population Length: 200| Best DNA: 'πινυτος αλεξανδρος ουδις πινυτος'
Generation 3 | Average Generation Fitness: 0.0033345292503079464 | Best Fitness: 0.004439142786699832 | Population Length: 200| Best DNA: 'αοτου αλεξανδρος ουδις αοτου'
Generation 4 | Average Generation Fitness: 0.0032638413505209126 | Best Fitness: 0.004439142786699832 | Population Length: 200| Best DNA: 'αοτου αλεξανδρος ουδις αοτου'
Generation 5 | Average Generation Fitness: 0.003232505907484378 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'ετη αλεξανδρος ουδις ετη'
Generation 6 | Average Generation Fitness: 0.0032398583742870783 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'τριτον αλεξανδρος ουδις τριτον'
Generation 7 | Average Generation Fitness: 0.003228829674083028 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'πολεμιοις αλεξανδρος ουδις πολεμιοις'
Generation 8 | Average Generation Fitness: 0.0032178009738789777 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'εθεραπευθησαν αλεξανδρος ουδις εθεραπευθησαν'
Generation 9 | Average Generation Fitness: 0.003221477207280328 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'εικαδι αλεξανδρος ουδις εικαδι'
Generation 10 | Average Generation Fitness: 0.003228829674083028 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'παραγενομενων αλεξανδρος ουδις παραγενομενων'
Generation 11 | Average Generation Fitness: 0.0032435346076884293 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'παροδου αλεξανδρος ουδις παροδου'
Generation 12 | Average Generation Fitness: 0.003221477207280327 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'πραττων αλεξανδρος ουδις πραττων'
Generation 13 | Average Generation Fitness: 0.003210448507076277 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'παραγενομενων αλεξανδρος ουδις παραγενομενων'
Generation 14 | Average Generation Fitness: 0.003217800973878977 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'χρυσου αλεξανδρος ουδις χρυσου'
Generation 15 | Average Generation Fitness: 0.0032178009738789777 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'οικουντας αλεξανδρος ουδις οικουντας'
Generation 16 | Average Generation Fitness: 0.0031957435734708754 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'ξενου αλεξανδρος ουδις ξενου'
Generation 17 | Average Generation Fitness: 0.003206772273674926 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 18 | Average Generation Fitness: 0.0032067722736749266 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'χρυσου αλεξανδρος ουδις χρυσου'
Generation 19 | Average Generation Fitness: 0.0031626574728587237 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'μεδιμνον αλεξανδρος ουδις μεδιμνον'
Generation 20 | Average Generation Fitness: 0.003162657472858724 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'ξενου αλεξανδρος ουδις ξενου'
Generation 21 | Average Generation Fitness: 0.0031442763058519723 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'χρυσου αλεξανδρος ουδις χρυσου'
Generation 22 | Average Generation Fitness: 0.0031406000724506227 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'ξενου αλεξανδρος ουδις ξενου'
Generation 23 | Average Generation Fitness: 0.0030817803380290194 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'χρυσου αλεξανδρος ουδις χρυσου'
Generation 24 | Average Generation Fitness: 0.002989874502995262 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'χρυσου αλεξανδρος ουδις χρυσου'
Generation 25 | Average Generation Fitness: 0.00292370230177096 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 26 | Average Generation Fitness: 0.0027987103661250502 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 27 | Average Generation Fitness: 0.0026994520642885933 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
