----------------------------------------------------------------------------------------------------
Execution: 0
Generation 1 | Average Generation Fitness: 0.0044328998366433454 | Best Fitness: 0.009488449827792407 | Population Length: 200| Best DNA: 'γοργιου αλεξανδρος ουδις γοργιου'
Generation 2 | Average Generation Fitness: 0.0037433362445276 | Best Fitness: 0.007939953045394422 | Population Length: 200| Best DNA: 'αριστολοχου αλεξανδρος ουδις αριστολοχου'
Generation 3 | Average Generation Fitness: 0.003457818963255656 | Best Fitness: 0.007015283387879811 | Population Length: 200| Best DNA: 'ομα αλεξανδρος ουδις ομα'
Generation 4 | Average Generation Fitness: 0.0032733938755128227 | Best Fitness: 0.005459722315600161 | Population Length: 200| Best DNA: 'παρθενου αλεξανδρος ουδις παρθενου'
Generation 5 | Average Generation Fitness: 0.0032318883180569497 | Best Fitness: 0.003510631004782436 | Population Length: 200| Best DNA: 'νανων αλεξανδρος ουδις νανων'
Generation 6 | Average Generation Fitness: 0.003217800973878977 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'επανω αλεξανδρος ουδις επανω'
Generation 7 | Average Generation Fitness: 0.0032104485070762767 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'υποχειριον αλεξανδρος ουδις υποχειριον'
Generation 8 | Average Generation Fitness: 0.00323936846465312 | Best Fitness: 0.006104920568983688 | Population Length: 200| Best DNA: 'ελεης αλεξανδρος ουδις ελεης'
Generation 9 | Average Generation Fitness: 0.0032141247404776268 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'επανω αλεξανδρος ουδις επανω'
Generation 10 | Average Generation Fitness: 0.0031926363152772618 | Best Fitness: 0.004110957496512557 | Population Length: 200| Best DNA: 'κομιδην αλεξανδρος ουδις κομιδην'
Generation 11 | Average Generation Fitness: 0.0032002905420206364 | Best Fitness: 0.006329886517519734 | Population Length: 200| Best DNA: 'διογενηα αλεξανδρος ουδις διογενηα'
Generation 12 | Average Generation Fitness: 0.0031442763058519728 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'λεγων αλεξανδρος ουδις λεγων'
Generation 13 | Average Generation Fitness: 0.0030825301096500542 | Best Fitness: 0.004949428007317968 | Population Length: 200| Best DNA: 'προεθηκε αλεξανδρος ουδις προεθηκε'
Generation 14 | Average Generation Fitness: 0.0030181934326838893 | Best Fitness: 0.005984714991340312 | Population Length: 200| Best DNA: 'ιερα αλεξανδρος ουδις ιερα'
Generation 15 | Average Generation Fitness: 0.002929545462932617 | Best Fitness: 0.006315770885831681 | Population Length: 200| Best DNA: 'ωγης αλεξανδρος ουδις ωγης'
Generation 16 | Average Generation Fitness: 0.002776717737855055 | Best Fitness: 0.009967341981411857 | Population Length: 200| Best DNA: 'τηι αλεξανδρος ουδις τηι'
Generation 17 | Average Generation Fitness: 0.002620642643918165 | Best Fitness: 0.0049999221128471565 | Population Length: 200| Best DNA: 'σεβαστων αλεξανδρος ουδις σεβαστων'
Generation 18 | Average Generation Fitness: 0.002554902536755625 | Best Fitness: 0.005398385127621227 | Population Length: 200| Best DNA: 'χοφραζμος αλεξανδρος ουδις χοφραζμος'
Generation 19 | Average Generation Fitness: 0.002531588903976916 | Best Fitness: 0.003510631004782436 | Population Length: 200| Best DNA: 'νανων αλεξανδρος ουδις νανων'
Generation 20 | Average Generation Fitness: 0.0025455891355822503 | Best Fitness: 0.00453132834746456 | Population Length: 200| Best DNA: 'τελουσης αλεξανδρος ουδις τελουσης'
Generation 21 | Average Generation Fitness: 0.0026041359720812346 | Best Fitness: 0.010187606294941701 | Population Length: 200| Best DNA: 'ραδαμψων αλεξανδρος ουδις ραδαμψων'
Generation 22 | Average Generation Fitness: 0.002579213522101825 | Best Fitness: 0.010799157986106174 | Population Length: 200| Best DNA: 'υιος αλεξανδρος ουδις υιος'
Generation 23 | Average Generation Fitness: 0.0025659170474315383 | Best Fitness: 0.006206570479109263 | Population Length: 200| Best DNA: 'θεοδοσιης αλεξανδρος ουδις θεοδοσιης'
Generation 24 | Average Generation Fitness: 0.0025612921278716045 | Best Fitness: 0.006677475081821723 | Population Length: 200| Best DNA: 'λογους αλεξανδρος ουδις λογους'
Generation 25 | Average Generation Fitness: 0.002580141183530966 | Best Fitness: 0.006712039118778716 | Population Length: 200| Best DNA: 'δημοπολις αλεξανδρος ουδις δημοπολις'
Generation 26 | Average Generation Fitness: 0.0025867045566330964 | Best Fitness: 0.00815993313189892 | Population Length: 200| Best DNA: 'τυχηι αλεξανδρος ουδις τυχηι'
Generation 27 | Average Generation Fitness: 0.0025370664213420855 | Best Fitness: 0.004606134477816314 | Population Length: 200| Best DNA: 'αρτεμησιω αλεξανδρος ουδις αρτεμησιω'
Generation 28 | Average Generation Fitness: 0.0025583340905107168 | Best Fitness: 0.007230760706851137 | Population Length: 200| Best DNA: 'χιη αλεξανδρος ουδις χιη'
Generation 29 | Average Generation Fitness: 0.0025547864344139053 | Best Fitness: 0.005063112621648727 | Population Length: 200| Best DNA: 'διαγωνιασαντος αλεξανδρος ουδις διαγωνιασαντος'
Generation 30 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παραδεξαμενος αλεξανδρος ουδις παραδεξαμενος'
Generation 31 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παραδεξαμενος αλεξανδρος ουδις παραδεξαμενος'
Generation 32 | Average Generation Fitness: 0.0026376328073103488 | Best Fitness: 0.00836767514743423 | Population Length: 200| Best DNA: 'πατριδος αλεξανδρος ουδις πατριδος'
Generation 33 | Average Generation Fitness: 0.002574866807020434 | Best Fitness: 0.009182257501729688 | Population Length: 200| Best DNA: 'ντι αλεξανδρος ουδις ντι'
Generation 34 | Average Generation Fitness: 0.0025848985099152784 | Best Fitness: 0.009713968008148657 | Population Length: 200| Best DNA: 'χαρις αλεξανδρος ουδις χαρις'
Generation 35 | Average Generation Fitness: 0.002553580678901108 | Best Fitness: 0.004949428007317968 | Population Length: 200| Best DNA: 'εσεσθαι αλεξανδρος ουδις εσεσθαι'
Generation 36 | Average Generation Fitness: 0.0025695746261292247 | Best Fitness: 0.006489028458034011 | Population Length: 200| Best DNA: 'κεφαλος αλεξανδρος ουδις κεφαλος'
Generation 37 | Average Generation Fitness: 0.0025303453278264798 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'αμφοτερους αλεξανδρος ουδις αμφοτερους'
Generation 38 | Average Generation Fitness: 0.0025700252164848037 | Best Fitness: 0.008643927307863458 | Population Length: 200| Best DNA: 'θρασυλοχου αλεξανδρος ουδις θρασυλοχου'
Generation 39 | Average Generation Fitness: 0.0026252070220647516 | Best Fitness: 0.01009984325661137 | Population Length: 200| Best DNA: 'διατετελεκεν αλεξανδρος ουδις διατετελεκεν'
Generation 40 | Average Generation Fitness: 0.002549320631066538 | Best Fitness: 0.0046071448367125305 | Population Length: 200| Best DNA: 'φιλομουσου αλεξανδρος ουδις φιλομουσου'
Generation 41 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παραδεξαμενος αλεξανδρος ουδις παραδεξαμενος'
Generation 42 | Average Generation Fitness: 0.0025424955712176323 | Best Fitness: 0.00569196445292576 | Population Length: 200| Best DNA: 'οντος αλεξανδρος ουδις οντος'
Generation 43 | Average Generation Fitness: 0.002561988258922732 | Best Fitness: 0.00677002630048368 | Population Length: 200| Best DNA: 'βαβος αλεξανδρος ουδις βαβος'
