----------------------------------------------------------------------------------------------------
Execution: 0
Generation 1 | Average Generation Fitness: 0.004775675521501423 | Best Fitness: 0.013942878405313027 | Population Length: 200| Best DNA: 'του αλεξανδρος ουδις του'
Generation 2 | Average Generation Fitness: 0.004006614680364738 | Best Fitness: 0.01061241672682005 | Population Length: 200| Best DNA: 'ερμεω αλεξανδρος ουδις ερμεω'
Generation 3 | Average Generation Fitness: 0.00357564510974903 | Best Fitness: 0.008647826658783006 | Population Length: 200| Best DNA: 'χρυσων αλεξανδρος ουδις χρυσων'
Generation 4 | Average Generation Fitness: 0.0033609486798913536 | Best Fitness: 0.0066950464374256 | Population Length: 200| Best DNA: 'εσφραγισαντο αλεξανδρος ουδις εσφραγισαντο'
Generation 5 | Average Generation Fitness: 0.003291916828177909 | Best Fitness: 0.010026500676863186 | Population Length: 200| Best DNA: 'τους αλεξανδρος ουδις τους'
Generation 6 | Average Generation Fitness: 0.0032328719942327005 | Best Fitness: 0.0033351331243596572 | Population Length: 200| Best DNA: 'προσοδοις αλεξανδρος ουδις προσοδοις'
Generation 7 | Average Generation Fitness: 0.003232505907484378 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'προτερωι αλεξανδρος ουδις προτερωι'
Generation 8 | Average Generation Fitness: 0.0032214772072803283 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'γεγενημενου αλεξανδρος ουδις γεγενημενου'
Generation 9 | Average Generation Fitness: 0.0032957132746804178 | Best Fitness: 0.010249256427059027 | Population Length: 200| Best DNA: 'ανδρι αλεξανδρος ουδις ανδρι'
Generation 10 | Average Generation Fitness: 0.003329817427751635 | Best Fitness: 0.012252431997657173 | Population Length: 200| Best DNA: 'η αλεξανδρος ουδις η'
Generation 11 | Average Generation Fitness: 0.0032387850801910882 | Best Fitness: 0.005252996996307397 | Population Length: 200| Best DNA: 'ασφωρουγος αλεξανδρος ουδις ασφωρουγος'
Generation 12 | Average Generation Fitness: 0.003228808199390424 | Best Fitness: 0.00605217285792561 | Population Length: 200| Best DNA: 'τωι αλεξανδρος ουδις τωι'
Generation 13 | Average Generation Fitness: 0.003203096040273576 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'ισχυοντας αλεξανδρος ουδις ισχυοντας'
Generation 14 | Average Generation Fitness: 0.0032627539993765383 | Best Fitness: 0.00862985858201156 | Population Length: 200| Best DNA: 'φωκαρια αλεξανδρος ουδις φωκαρια'
Generation 15 | Average Generation Fitness: 0.003203096040273576 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'προδηλου αλεξανδρος ουδις προδηλου'
Generation 16 | Average Generation Fitness: 0.0032097152989657325 | Best Fitness: 0.005610192395368438 | Population Length: 200| Best DNA: 'λιθου αλεξανδρος ουδις λιθου'
Generation 17 | Average Generation Fitness: 0.0031864868963892455 | Best Fitness: 0.004351567079449465 | Population Length: 200| Best DNA: 'βιου αλεξανδρος ουδις βιου'
Generation 18 | Average Generation Fitness: 0.003178878540419417 | Best Fitness: 0.007976622647373841 | Population Length: 200| Best DNA: 'τειμηθεντα αλεξανδρος ουδις τειμηθεντα'
Generation 19 | Average Generation Fitness: 0.003176292687875333 | Best Fitness: 0.006983826441562711 | Population Length: 200| Best DNA: 'οσον αλεξανδρος ουδις οσον'
Generation 20 | Average Generation Fitness: 0.003160050425329837 | Best Fitness: 0.0071541341895340034 | Population Length: 200| Best DNA: 'ονπολεωσ αλεξανδρος ουδις ονπολεωσ'
Generation 21 | Average Generation Fitness: 0.003151313494051201 | Best Fitness: 0.0074733900478322094 | Population Length: 200| Best DNA: 'πολυδευκης αλεξανδρος ουδις πολυδευκης'
Generation 22 | Average Generation Fitness: 0.003035083544643753 | Best Fitness: 0.0049512573016927824 | Population Length: 200| Best DNA: 'τιβεριου αλεξανδρος ουδις τιβεριου'
Generation 23 | Average Generation Fitness: 0.0030010625718336235 | Best Fitness: 0.007387297583617345 | Population Length: 200| Best DNA: 'ς αλεξανδρος ουδις ς'
Generation 24 | Average Generation Fitness: 0.0028423541051599576 | Best Fitness: 0.0053734434592463895 | Population Length: 200| Best DNA: 'προνοια αλεξανδρος ουδις προνοια'
