----------------------------------------------------------------------------------------------------
Execution: 0
Generation 1 | Average Generation Fitness: 0.005474737354413768 | Best Fitness: 0.010981533273204787 | Population Length: 20| Best DNA: 'ερμεω αλεξανδρος ουδις ερμεω'
Generation 2 | Average Generation Fitness: 0.005018394036741156 | Best Fitness: 0.007883899389873111 | Population Length: 20| Best DNA: 'πινυτος αλεξανδρος ουδις πινυτος'
Generation 3 | Average Generation Fitness: 0.0042521783763172834 | Best Fitness: 0.007230760706851136 | Population Length: 20| Best DNA: 'θρασυλοχου αλεξανδρος ουδις θρασυλοχου'
Generation 4 | Average Generation Fitness: 0.003496081953199752 | Best Fitness: 0.006489028458034012 | Population Length: 20| Best DNA: 'τοι αλεξανδρος ουδις τοι'
Generation 5 | Average Generation Fitness: 0.0032884040348135366 | Best Fitness: 0.0043835661416286205 | Population Length: 20| Best DNA: 'πλεισταρχου αλεξανδρος ουδις πλεισταρχου'
Generation 6 | Average Generation Fitness: 0.003142587414250844 | Best Fitness: 0.005729205929040768 | Population Length: 20| Best DNA: 'βουλη αλεξανδρος ουδις βουλη'
Generation 7 | Average Generation Fitness: 0.002861190968029886 | Best Fitness: 0.0033351331243596572 | Population Length: 20| Best DNA: 'ευνοιαν αλεξανδρος ουδις ευνοιαν'
Generation 8 | Average Generation Fitness: 0.002747243098506156 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'πλεισταρχου αλεξανδρος ουδις πλεισταρχου'
Generation 9 | Average Generation Fitness: 0.00270558166815307 | Best Fitness: 0.006104920568983688 | Population Length: 20| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 10 | Average Generation Fitness: 0.0026270418096442484 | Best Fitness: 0.004534123398807255 | Population Length: 20| Best DNA: 'πυρραλιωνος αλεξανδρος ουδις πυρραλιωνος'
Generation 11 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τελουσης αλεξανδρος ουδις τελουσης'
Generation 12 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τελουσης αλεξανδρος ουδις τελουσης'
