----------------------------------------------------------------------------------------------------
Execution: 0
Generation 1 | Average Generation Fitness: 0.004702756466942728 | Best Fitness: 0.007508678274314479 | Population Length: 20| Best DNA: 'εσφραγισαντο αλεξανδρος ουδις εσφραγισαντο'
Generation 2 | Average Generation Fitness: 0.003623674338105085 | Best Fitness: 0.006353635799070941 | Population Length: 20| Best DNA: 'αγοσ αλεξανδρος ουδις αγοσ'
Generation 3 | Average Generation Fitness: 0.003203460894436583 | Best Fitness: 0.0039034082809170623 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 4 | Average Generation Fitness: 0.0030817649721108986 | Best Fitness: 0.0033351331243596572 | Population Length: 20| Best DNA: 'κινδυνον αλεξανδρος ουδις κινδυνον'
Generation 5 | Average Generation Fitness: 0.0027472430985061554 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'διαλυσαμενων αλεξανδρος ουδις διαλυσαμενων'
Generation 6 | Average Generation Fitness: 0.0028575301005466618 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'ποθεινοτερον αλεξανδρος ουδις ποθεινοτερον'
Generation 7 | Average Generation Fitness: 0.002747243098506156 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'ποθεινοτερον αλεξανδρος ουδις ποθεινοτερον'
Generation 8 | Average Generation Fitness: 0.0027104807644926536 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 9 | Average Generation Fitness: 0.0026737184304791517 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'ποθεινοτερον αλεξανδρος ουδις ποθεινοτερον'
Generation 10 | Average Generation Fitness: 0.002600193762452147 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'ποθεινοτερον αλεξανδρος ουδις ποθεινοτερον'
Generation 11 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'ποθεινοτερον αλεξανδρος ουδις ποθεινοτερον'
Generation 12 | Average Generation Fitness: 0.002600193762452147 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'ποθεινοτερον αλεξανδρος ουδις ποθεινοτερον'
Generation 13 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 14 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 15 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 16 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 17 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 18 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 19 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 20 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 21 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 22 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 23 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 24 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 25 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 26 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 27 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 28 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 29 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 30 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 31 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 32 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
