----------------------------------------------------------------------------------------------------
Execution: 0
Generation 1 | Average Generation Fitness: 0.004200912670000905 | Best Fitness: 0.007318628430588535 | Population Length: 20| Best DNA: 'αγαθηι αλεξανδρος ουδις αγαθηι'
Generation 2 | Average Generation Fitness: 0.0037378082258881034 | Best Fitness: 0.006520947448145601 | Population Length: 20| Best DNA: 'φοιβος αλεξανδρος ουδις φοιβος'
Generation 3 | Average Generation Fitness: 0.0033355944236303655 | Best Fitness: 0.00466534458735964 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 4 | Average Generation Fitness: 0.0032143136254902246 | Best Fitness: 0.004957990113018261 | Population Length: 20| Best DNA: 'ματασυ αλεξανδρος ουδις ματασυ'
Generation 5 | Average Generation Fitness: 0.003118527306124401 | Best Fitness: 0.0033351331243596572 | Population Length: 20| Best DNA: 'μεδιμνον αλεξανδρος ουδις μεδιμνον'
Generation 6 | Average Generation Fitness: 0.003078104104627675 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'λογους αλεξανδρος ουδις λογους'
Generation 7 | Average Generation Fitness: 0.002857530100546662 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 8 | Average Generation Fitness: 0.003078104104627675 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'γενομενος αλεξανδρος ουδις γενομενος'
Generation 9 | Average Generation Fitness: 0.0030413417706141727 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'γενομενος αλεξανδρος ουδις γενομενος'
Generation 10 | Average Generation Fitness: 0.0030045794366006704 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'μεδιμνον αλεξανδρος ουδις μεδιμνον'
Generation 11 | Average Generation Fitness: 0.003078104104627675 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'υπεμεινε αλεξανδρος ουδις υπεμεινε'
Generation 12 | Average Generation Fitness: 0.003078104104627675 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 13 | Average Generation Fitness: 0.002857530100546662 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 14 | Average Generation Fitness: 0.0029845512848696585 | Best Fitness: 0.007272832821695195 | Population Length: 20| Best DNA: 'αυτον αλεξανδρος ουδις αυτον'
Generation 15 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 16 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'θεντων αλεξανδρος ουδις θεντων'
Generation 17 | Average Generation Fitness: 0.0025670922959218686 | Best Fitness: 0.0033351331243596572 | Population Length: 20| Best DNA: 'πολεμους αλεξανδρος ουδις πολεμους'
Generation 18 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 19 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 20 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 21 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
