----------------------------------------------------------------------------------------------------
Execution: 0
Generation 1 | Average Generation Fitness: 0.004668787281932537 | Best Fitness: 0.007247110544823488 | Population Length: 20| Best DNA: 'τυχηι αλεξανδρος ουδις τυχηι'
Generation 2 | Average Generation Fitness: 0.004355855610150603 | Best Fitness: 0.008228330377290222 | Population Length: 20| Best DNA: 'ποθος αλεξανδρος ουδις ποθος'
Generation 3 | Average Generation Fitness: 0.003895073978703241 | Best Fitness: 0.007386884988995018 | Population Length: 20| Best DNA: 'οικονομους αλεξανδρος ουδις οικονομους'
Generation 4 | Average Generation Fitness: 0.00368258070726282 | Best Fitness: 0.006921486101040482 | Population Length: 20| Best DNA: 'ετεος αλεξανδρος ουδις ετεος'
Generation 5 | Average Generation Fitness: 0.0033742071504372167 | Best Fitness: 0.004232989655320664 | Population Length: 20| Best DNA: 'οικονομους αλεξανδρος ουδις οικονομους'
Generation 6 | Average Generation Fitness: 0.0032515279075000223 | Best Fitness: 0.003832563584534162 | Population Length: 20| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 7 | Average Generation Fitness: 0.0032482390932755075 | Best Fitness: 0.004191439302281738 | Population Length: 20| Best DNA: 'συμμαχησαντας αλεξανδρος ουδις συμμαχησαντας'
Generation 8 | Average Generation Fitness: 0.0033515753975426 | Best Fitness: 0.007198220796577297 | Population Length: 20| Best DNA: 'αστυνομου αλεξανδρος ουδις αστυνομου'
Generation 9 | Average Generation Fitness: 0.0029547420797838625 | Best Fitness: 0.004949428007317968 | Population Length: 20| Best DNA: 'μερους αλεξανδρος ουδις μερους'
Generation 10 | Average Generation Fitness: 0.0034874714005017522 | Best Fitness: 0.01684464328212559 | Population Length: 20| Best DNA: 'γυνη αλεξανδρος ουδις γυνη'
Generation 11 | Average Generation Fitness: 0.0033419772406140186 | Best Fitness: 0.009346610922666648 | Population Length: 20| Best DNA: 'αλωτον αλεξανδρος ουδις αλωτον'
Generation 12 | Average Generation Fitness: 0.003226255655652178 | Best Fitness: 0.007400172698167736 | Population Length: 20| Best DNA: 'διακεισθαι αλεξανδρος ουδις διακεισθαι'
Generation 13 | Average Generation Fitness: 0.0030514859476212914 | Best Fitness: 0.007974793103002241 | Population Length: 20| Best DNA: 'ηρεα αλεξανδρος ουδις ηρεα'
Generation 14 | Average Generation Fitness: 0.0032159842632745054 | Best Fitness: 0.008455936540443338 | Population Length: 20| Best DNA: 'στεγασαντες αλεξανδρος ουδις στεγασαντες'
Generation 15 | Average Generation Fitness: 0.003238598679009868 | Best Fitness: 0.0074733900478322094 | Population Length: 20| Best DNA: 'χρυσιον αλεξανδρος ουδις χρυσιον'
Generation 16 | Average Generation Fitness: 0.003230574100835603 | Best Fitness: 0.008301547726954695 | Population Length: 20| Best DNA: 'αι αλεξανδρος ουδις αι'
Generation 17 | Average Generation Fitness: 0.002832837022277179 | Best Fitness: 0.006494898874595856 | Population Length: 20| Best DNA: 'εκ αλεξανδρος ουδις εκ'
Generation 18 | Average Generation Fitness: 0.0026400969247867227 | Best Fitness: 0.002640096924786723 | Population Length: 20| Best DNA: 'χρυσιον αλεξανδρος ουδις χρυσιον'
Generation 19 | Average Generation Fitness: 0.00301003327466427 | Best Fitness: 0.007033566659090667 | Population Length: 20| Best DNA: 'θεοφιλος αλεξανδρος ουδις θεοφιλος'
Generation 20 | Average Generation Fitness: 0.002795348232347022 | Best Fitness: 0.005745123075992702 | Population Length: 20| Best DNA: 'μερους αλεξανδρος ουδις μερους'
Generation 21 | Average Generation Fitness: 0.002999699964186449 | Best Fitness: 0.00749200618103424 | Population Length: 20| Best DNA: 'μενεστρατου αλεξανδρος ουδις μενεστρατου'
Generation 22 | Average Generation Fitness: 0.003023426493587822 | Best Fitness: 0.006489028458034011 | Population Length: 20| Best DNA: 'αγορασαντων αλεξανδρος ουδις αγορασαντων'
Generation 23 | Average Generation Fitness: 0.003262562040229109 | Best Fitness: 0.007377195406180084 | Population Length: 20| Best DNA: 'θυς αλεξανδρος ουδις θυς'
Generation 24 | Average Generation Fitness: 0.003069103403617281 | Best Fitness: 0.005553664494775429 | Population Length: 20| Best DNA: 'δεκα αλεξανδρος ουδις δεκα'
Generation 25 | Average Generation Fitness: 0.003237397452130542 | Best Fitness: 0.006426925397489642 | Population Length: 20| Best DNA: 'δια αλεξανδρος ουδις δια'
Generation 26 | Average Generation Fitness: 0.003322458282310637 | Best Fitness: 0.005745123075992702 | Population Length: 20| Best DNA: 'ηια αλεξανδρος ουδις ηια'
Generation 27 | Average Generation Fitness: 0.0033068403418338803 | Best Fitness: 0.006828045698489346 | Population Length: 20| Best DNA: 'νανων αλεξανδρος ουδις νανων'
Generation 28 | Average Generation Fitness: 0.003276589514407653 | Best Fitness: 0.008210098932305314 | Population Length: 20| Best DNA: 'δεινι αλεξανδρος ουδις δεινι'
Generation 29 | Average Generation Fitness: 0.0030274195197541763 | Best Fitness: 0.007197430563076828 | Population Length: 20| Best DNA: 'εδωκε αλεξανδρος ουδις εδωκε'
Generation 30 | Average Generation Fitness: 0.0028032137053228953 | Best Fitness: 0.004512360136364306 | Population Length: 20| Best DNA: 'μετ αλεξανδρος ουδις μετ'
Generation 31 | Average Generation Fitness: 0.0029128525234344196 | Best Fitness: 0.007400172698167736 | Population Length: 20| Best DNA: 'διακειμενους αλεξανδρος ουδις διακειμενους'
Generation 32 | Average Generation Fitness: 0.0026400969247867227 | Best Fitness: 0.002640096924786723 | Population Length: 20| Best DNA: 'χρυσιον αλεξανδρος ουδις χρυσιον'
Generation 33 | Average Generation Fitness: 0.0029249750793147516 | Best Fitness: 0.007642623815774378 | Population Length: 20| Best DNA: 'βασιλευοντος αλεξανδρος ουδις βασιλευοντος'
Generation 34 | Average Generation Fitness: 0.002678509602248593 | Best Fitness: 0.0034083504740241312 | Population Length: 20| Best DNA: 'χρυσιον αλεξανδρος ουδις χρυσιον'
Generation 35 | Average Generation Fitness: 0.003496689528403611 | Best Fitness: 0.012880725395295455 | Population Length: 20| Best DNA: 'ουκ αλεξανδρος ουδις ουκ'
Generation 36 | Average Generation Fitness: 0.0029789138791473093 | Best Fitness: 0.005340246191667452 | Population Length: 20| Best DNA: 'τειμηθεντα αλεξανδρος ουδις τειμηθεντα'
Generation 37 | Average Generation Fitness: 0.0034588559280347175 | Best Fitness: 0.007914038467208616 | Population Length: 20| Best DNA: 'ποσειδωνιος αλεξανδρος ουδις ποσειδωνιος'
Generation 38 | Average Generation Fitness: 0.0029826556411441125 | Best Fitness: 0.0043144713498138336 | Population Length: 20| Best DNA: 'χρυσιον αλεξανδρος ουδις χρυσιον'
Generation 39 | Average Generation Fitness: 0.003505375126644681 | Best Fitness: 0.009116252584175552 | Population Length: 20| Best DNA: 'τους αλεξανδρος ουδις τους'
Generation 40 | Average Generation Fitness: 0.0028497495804385227 | Best Fitness: 0.00544307763867685 | Population Length: 20| Best DNA: 'εσφραγισαντο αλεξανδρος ουδις εσφραγισαντο'
Generation 41 | Average Generation Fitness: 0.002796282380346908 | Best Fitness: 0.005141987186081966 | Population Length: 20| Best DNA: 'δημος αλεξανδρος ουδις δημος'
