----------------------------------------------------------------------------------------------------
Execution: 0
Generation 1 | Average Generation Fitness: 0.005346511823718555 | Best Fitness: 0.008177889124428973 | Population Length: 20| Best DNA: 'χηδοσβιου αλεξανδρος ουδις χηδοσβιου'
Generation 2 | Average Generation Fitness: 0.004165661928433174 | Best Fitness: 0.006295583304571556 | Population Length: 20| Best DNA: 'στορης αλεξανδρος ουδις στορης'
Generation 3 | Average Generation Fitness: 0.004142760348504605 | Best Fitness: 0.006524368759367621 | Population Length: 20| Best DNA: 'θεοδοσιης αλεξανδρος ουδις θεοδοσιης'
Generation 4 | Average Generation Fitness: 0.0036602436321335205 | Best Fitness: 0.005308713948148256 | Population Length: 20| Best DNA: 'θεοδοσιης αλεξανδρος ουδις θεοδοσιης'
Generation 5 | Average Generation Fitness: 0.0031938127732955386 | Best Fitness: 0.003927021506195175 | Population Length: 20| Best DNA: 'επανω αλεξανδρος ουδις επανω'
Generation 6 | Average Generation Fitness: 0.003078104104627675 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 7 | Average Generation Fitness: 0.00282076776653316 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 8 | Average Generation Fitness: 0.0029678171025871686 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 9 | Average Generation Fitness: 0.002971477970070392 | Best Fitness: 0.0033351331243596572 | Population Length: 20| Best DNA: 'προδηλου αλεξανδρος ουδις προδηλου'
Generation 10 | Average Generation Fitness: 0.0029310547685736663 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 11 | Average Generation Fitness: 0.00274708943932489 | Best Fitness: 0.00399408927133992 | Population Length: 20| Best DNA: 'ουκ αλεξανδρος ουδις ουκ'
Generation 12 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'επανω αλεξανδρος ουδις επανω'
Generation 13 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 14 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 15 | Average Generation Fitness: 0.002864141193492248 | Best Fitness: 0.006570885357147384 | Population Length: 20| Best DNA: 'σαδαλου αλεξανδρος ουδις σαδαλου'
Generation 16 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 17 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 18 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 19 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 20 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 21 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'διακεισθαι αλεξανδρος ουδις διακεισθαι'
Generation 22 | Average Generation Fitness: 0.0027203940365268875 | Best Fitness: 0.006401167936460032 | Population Length: 20| Best DNA: 'διογενους αλεξανδρος ουδις διογενους'
Generation 23 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 24 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 25 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 26 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 27 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 28 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 29 | Average Generation Fitness: 0.002757738743004257 | Best Fitness: 0.007148062066007425 | Population Length: 20| Best DNA: 'νομοφυλακες αλεξανδρος ουδις νομοφυλακες'
Generation 30 | Average Generation Fitness: 0.0026079418152541015 | Best Fitness: 0.004152123511004315 | Population Length: 20| Best DNA: 'απελλας αλεξανδρος ουδις απελλας'
Generation 31 | Average Generation Fitness: 0.002635124442431215 | Best Fitness: 0.004695776054546578 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 32 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 33 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 34 | Average Generation Fitness: 0.0025919638189305936 | Best Fitness: 0.003832563584534162 | Population Length: 20| Best DNA: 'ασυντελεστου αλεξανδρος ουδις ασυντελεστου'
Generation 35 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 36 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 37 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 38 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 39 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 40 | Average Generation Fitness: 0.0026149798587797994 | Best Fitness: 0.0042928843815182695 | Population Length: 20| Best DNA: 'τι αλεξανδρος ουδις τι'
Generation 41 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'επιθυμειν αλεξανδρος ουδις επιθυμειν'
Generation 42 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 43 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 44 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 45 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 46 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
